"food_name","lang","alias"
"牛肉炒飯","zh-TW","牛肉炒飯"
"牛肉炒飯","zh-TW","牛肉"
"牛肉炒飯","zh-TW","牛肉炒"
"蝦仁炒飯","zh-TW","蝦仁炒飯"
"蝦仁炒飯","zh-TW","蝦仁"
"蝦仁炒飯","zh-TW","蝦仁炒"
"蛋炒飯","zh-TW","蛋炒飯"
"蛋炒飯","zh-TW","蛋炒"
"香腸炒飯","zh-TW","香腸炒飯"
"香腸炒飯","zh-TW","香腸"
"香腸炒飯","zh-TW","香腸炒"
"鳳梨炒飯","zh-TW","鳳梨炒飯"
"鳳梨炒飯","zh-TW","鳳梨"
"鳳梨炒飯","zh-TW","鳳梨炒"
"咖哩飯","zh-TW","咖哩飯"
"咖哩飯","zh-TW","咖哩"
"雞肉咖哩飯","zh-TW","雞肉咖哩飯"
"雞肉咖哩飯","zh-TW","雞肉"
"雞肉咖哩飯","zh-TW","雞肉咖"
"雞肉咖哩飯","zh-TW","雞肉咖哩"
"豬排咖哩飯","zh-TW","豬排咖哩飯"
"豬排咖哩飯","zh-TW","豬排"
"豬排咖哩飯","zh-TW","豬排咖"
"豬排咖哩飯","zh-TW","豬排咖哩"
"牛丼","zh-TW","牛丼"
"親子丼","zh-TW","親子丼"
"親子丼","zh-TW","親子"
"鰻魚飯","zh-TW","鰻魚飯"
"鰻魚飯","zh-TW","鰻魚"
"滷肉飯","zh-TW","滷肉飯"
"滷肉飯","zh-TW","滷肉"
"雞肉飯","zh-TW","雞肉飯"
"雞肉飯","zh-TW","雞肉"
"控肉飯","zh-TW","控肉飯"
"控肉飯","zh-TW","控肉"
"排骨飯","zh-TW","排骨飯"
"排骨飯","zh-TW","排骨"
"雞腿便當","zh-TW","雞腿便當"
"雞腿便當","zh-TW","雞腿"
"雞腿便當","zh-TW","雞腿便"
"雞排便當","zh-TW","雞排便當"
"雞排便當","zh-TW","雞排"
"雞排便當","zh-TW","雞排便"
"雞胸肉便當","zh-TW","雞胸肉便當"
"雞胸肉便當","zh-TW","雞胸"
"雞胸肉便當","zh-TW","雞胸肉"
"雞胸肉便當","zh-TW","雞胸肉便"
"牛肉便當","zh-TW","牛肉便當"
"牛肉便當","zh-TW","牛肉"
"牛肉便當","zh-TW","牛肉便"
"豬排便當","zh-TW","豬排便當"
"豬排便當","zh-TW","豬排"
"豬排便當","zh-TW","豬排便"
"滷排骨便當","zh-TW","滷排骨便當"
"滷排骨便當","zh-TW","滷排"
"滷排骨便當","zh-TW","滷排骨"
"滷排骨便當","zh-TW","滷排骨便"
"魚排便當","zh-TW","魚排便當"
"魚排便當","zh-TW","魚排"
"魚排便當","zh-TW","魚排便"
"三杯雞便當","zh-TW","三杯雞便當"
"三杯雞便當","zh-TW","三杯"
"三杯雞便當","zh-TW","三杯雞"
"三杯雞便當","zh-TW","三杯雞便"
"烤鯖魚便當","zh-TW","烤鯖魚便當"
"烤鯖魚便當","zh-TW","烤鯖"
"烤鯖魚便當","zh-TW","烤鯖魚"
"烤鯖魚便當","zh-TW","烤鯖魚便"
"燒肉便當","zh-TW","燒肉便當"
"燒肉便當","zh-TW","燒肉"
"燒肉便當","zh-TW","燒肉便"
"焢肉便當","zh-TW","焢肉便當"
"焢肉便當","zh-TW","焢肉"
"焢肉便當","zh-TW","焢肉便"
"素食便當","zh-TW","素食便當"
"素食便當","zh-TW","素食"
"素食便當","zh-TW","素食便"
"健康餐盒","zh-TW","健康餐盒"
"健康餐盒","zh-TW","健康"
"健康餐盒","zh-TW","健康餐"
"水煮雞胸餐盒","zh-TW","水煮雞胸餐盒"
"水煮雞胸餐盒","zh-TW","水煮"
"水煮雞胸餐盒","zh-TW","水煮雞"
"水煮雞胸餐盒","zh-TW","水煮雞胸"
"水煮雞胸餐盒","zh-TW","水煮雞胸餐"
"沙拉雞胸餐盒","zh-TW","沙拉雞胸餐盒"
"沙拉雞胸餐盒","zh-TW","沙拉"
"沙拉雞胸餐盒","zh-TW","沙拉雞"
"沙拉雞胸餐盒","zh-TW","沙拉雞胸"
"沙拉雞胸餐盒","zh-TW","沙拉雞胸餐"
"鮭魚餐盒","zh-TW","鮭魚餐盒"
"鮭魚餐盒","zh-TW","鮭魚"
"鮭魚餐盒","zh-TW","鮭魚餐"
"壽司便當","zh-TW","壽司便當"
"壽司便當","zh-TW","壽司"
"壽司便當","zh-TW","壽司便"
"手捲壽司","zh-TW","手捲壽司"
"手捲壽司","zh-TW","手捲"
"手捲壽司","zh-TW","手捲壽"
"鮭魚壽司","zh-TW","鮭魚壽司"
"鮭魚壽司","zh-TW","鮭魚"
"鮭魚壽司","zh-TW","鮭魚壽"
"鮪魚壽司","zh-TW","鮪魚壽司"
"鮪魚壽司","zh-TW","鮪魚"
"鮪魚壽司","zh-TW","鮪魚壽"
"花壽司","zh-TW","花壽司"
"花壽司","zh-TW","花壽"
"豆皮壽司","zh-TW","豆皮壽司"
"豆皮壽司","zh-TW","豆皮"
"豆皮壽司","zh-TW","豆皮壽"
"生魚片丼飯","zh-TW","生魚片丼飯"
"生魚片丼飯","zh-TW","生魚"
"生魚片丼飯","zh-TW","生魚片"
"生魚片丼飯","zh-TW","生魚片丼"
"炸蝦丼飯","zh-TW","炸蝦丼飯"
"炸蝦丼飯","zh-TW","炸蝦"
"炸蝦丼飯","zh-TW","炸蝦丼"
"唐揚雞丼飯","zh-TW","唐揚雞丼飯"
"唐揚雞丼飯","zh-TW","唐揚"
"唐揚雞丼飯","zh-TW","唐揚雞"
"唐揚雞丼飯","zh-TW","唐揚雞丼"
"石鍋拌飯","zh-TW","石鍋拌飯"
"石鍋拌飯","zh-TW","石鍋"
"石鍋拌飯","zh-TW","石鍋拌"
"韓式拌飯","zh-TW","韓式拌飯"
"韓式拌飯","zh-TW","韓式"
"韓式拌飯","zh-TW","韓式拌"
"韓式烤肉飯","zh-TW","韓式烤肉飯"
"韓式烤肉飯","zh-TW","韓式"
"韓式烤肉飯","zh-TW","韓式烤"
"韓式烤肉飯","zh-TW","韓式烤肉"
"泡菜鍋","zh-TW","泡菜鍋"
"泡菜鍋","zh-TW","泡菜"
"部隊鍋","zh-TW","部隊鍋"
"部隊鍋","zh-TW","部隊"
"海鮮豆腐鍋","zh-TW","海鮮豆腐鍋"
"海鮮豆腐鍋","zh-TW","海鮮"
"海鮮豆腐鍋","zh-TW","海鮮豆"
"海鮮豆腐鍋","zh-TW","海鮮豆腐"
"麻辣鍋","zh-TW","麻辣鍋"
"麻辣鍋","zh-TW","麻辣"
"麻辣燙","zh-TW","麻辣燙"
"麻辣燙","zh-TW","麻辣"
"關東煮","zh-TW","關東煮"
"關東煮","zh-TW","關東"
"水餃","zh-TW","水餃"
"鍋貼","zh-TW","鍋貼"
"蒸餃","zh-TW","蒸餃"
"小籠包","zh-TW","小籠包"
"小籠包","zh-TW","小籠"
"韭菜盒","zh-TW","韭菜盒"
"韭菜盒","zh-TW","韭菜"
"蔥油餅","zh-TW","蔥油餅"
"蔥油餅","zh-TW","蔥油"
"蛋餅","zh-TW","蛋餅"
"起司蛋餅","zh-TW","起司蛋餅"
"起司蛋餅","zh-TW","起司"
"起司蛋餅","zh-TW","起司蛋"
"火腿蛋餅","zh-TW","火腿蛋餅"
"火腿蛋餅","zh-TW","火腿"
"火腿蛋餅","zh-TW","火腿蛋"
"玉米蛋餅","zh-TW","玉米蛋餅"
"玉米蛋餅","zh-TW","玉米"
"玉米蛋餅","zh-TW","玉米蛋"
"蘿蔔糕","zh-TW","蘿蔔糕"
"蘿蔔糕","zh-TW","蘿蔔"
"蘿蔔糕加蛋","zh-TW","蘿蔔糕加蛋"
"蘿蔔糕加蛋","zh-TW","蘿蔔"
"蘿蔔糕加蛋","zh-TW","蘿蔔糕"
"蘿蔔糕加蛋","zh-TW","蘿蔔糕加"
"飯糰","zh-TW","飯糰"
"燒餅油條","zh-TW","燒餅油條"
"燒餅油條","zh-TW","燒餅"
"燒餅油條","zh-TW","燒餅油"
"三明治","zh-TW","三明治"
"三明治","zh-TW","三明"
"火腿蛋吐司","zh-TW","火腿蛋吐司"
"火腿蛋吐司","zh-TW","火腿"
"火腿蛋吐司","zh-TW","火腿蛋"
"火腿蛋吐司","zh-TW","火腿蛋吐"
"鮪魚蛋吐司","zh-TW","鮪魚蛋吐司"
"鮪魚蛋吐司","zh-TW","鮪魚"
"鮪魚蛋吐司","zh-TW","鮪魚蛋"
"鮪魚蛋吐司","zh-TW","鮪魚蛋吐"
"花生吐司","zh-TW","花生吐司"
"花生吐司","zh-TW","花生"
"花生吐司","zh-TW","花生吐"
"奶油吐司","zh-TW","奶油吐司"
"奶油吐司","zh-TW","奶油"
"奶油吐司","zh-TW","奶油吐"
"厚片吐司","zh-TW","厚片吐司"
"厚片吐司","zh-TW","厚片"
"厚片吐司","zh-TW","厚片吐"
"法式吐司","zh-TW","法式吐司"
"法式吐司","zh-TW","法式"
"法式吐司","zh-TW","法式吐"
"漢堡","zh-TW","漢堡"
"豬肉漢堡","zh-TW","豬肉漢堡"
"豬肉漢堡","zh-TW","豬肉"
"豬肉漢堡","zh-TW","豬肉漢"
"雞腿漢堡","zh-TW","雞腿漢堡"
"雞腿漢堡","zh-TW","雞腿"
"雞腿漢堡","zh-TW","雞腿漢"
"雞塊","zh-TW","雞塊"
"薯條","zh-TW","薯條"
"薯餅","zh-TW","薯餅"
"炸雞","zh-TW","炸雞"
"炸雞腿","zh-TW","炸雞腿"
"炸雞腿","zh-TW","炸雞"
"炸雞排","zh-TW","炸雞排"
"炸雞排","zh-TW","炸雞"
"鹽酥雞","zh-TW","鹽酥雞"
"鹽酥雞","zh-TW","鹽酥"
"地瓜球","zh-TW","地瓜球"
"地瓜球","zh-TW","地瓜"
"甜不辣","zh-TW","甜不辣"
"甜不辣","zh-TW","甜不"
"黑輪","zh-TW","黑輪"
"蚵仔煎","zh-TW","蚵仔煎"
"蚵仔煎","zh-TW","蚵仔"
"大腸麵線","zh-TW","大腸麵線"
"大腸麵線","zh-TW","大腸"
"大腸麵線","zh-TW","大腸麵"
"蚵仔麵線","zh-TW","蚵仔麵線"
"蚵仔麵線","zh-TW","蚵仔"
"蚵仔麵線","zh-TW","蚵仔麵"
"肉圓","zh-TW","肉圓"
"碗粿","zh-TW","碗粿"
"米糕","zh-TW","米糕"
"肉粽","zh-TW","肉粽"
"鹹粥","zh-TW","鹹粥"
"皮蛋瘦肉粥","zh-TW","皮蛋瘦肉粥"
"皮蛋瘦肉粥","zh-TW","皮蛋"
"皮蛋瘦肉粥","zh-TW","皮蛋瘦"
"皮蛋瘦肉粥","zh-TW","皮蛋瘦肉"
"海鮮粥","zh-TW","海鮮粥"
"海鮮粥","zh-TW","海鮮"
"廣東粥","zh-TW","廣東粥"
"廣東粥","zh-TW","廣東"
"雞蓉玉米湯","zh-TW","雞蓉玉米湯"
"雞蓉玉米湯","zh-TW","雞蓉"
"雞蓉玉米湯","zh-TW","雞蓉玉"
"雞蓉玉米湯","zh-TW","雞蓉玉米"
"酸辣湯","zh-TW","酸辣湯"
"酸辣湯","zh-TW","酸辣"
"玉米濃湯","zh-TW","玉米濃湯"
"玉米濃湯","zh-TW","玉米"
"玉米濃湯","zh-TW","玉米濃"
"貢丸湯","zh-TW","貢丸湯"
"貢丸湯","zh-TW","貢丸"
"魚丸湯","zh-TW","魚丸湯"
"魚丸湯","zh-TW","魚丸"
"紫菜蛋花湯","zh-TW","紫菜蛋花湯"
"紫菜蛋花湯","zh-TW","紫菜"
"紫菜蛋花湯","zh-TW","紫菜蛋"
"紫菜蛋花湯","zh-TW","紫菜蛋花"
"味噌湯","zh-TW","味噌湯"
"味噌湯","zh-TW","味噌"
"蛤蜊湯","zh-TW","蛤蜊湯"
"蛤蜊湯","zh-TW","蛤蜊"
"冬瓜排骨湯","zh-TW","冬瓜排骨湯"
"冬瓜排骨湯","zh-TW","冬瓜"
"冬瓜排骨湯","zh-TW","冬瓜排"
"冬瓜排骨湯","zh-TW","冬瓜排骨"
"香菇雞湯","zh-TW","香菇雞湯"
"香菇雞湯","zh-TW","香菇"
"香菇雞湯","zh-TW","香菇雞"
"麻油雞","zh-TW","麻油雞"
"麻油雞","zh-TW","麻油"
"薑母鴨","zh-TW","薑母鴨"
"薑母鴨","zh-TW","薑母"
"羊肉爐","zh-TW","羊肉爐"
"羊肉爐","zh-TW","羊肉"
"滷味","zh-TW","滷味"
"豆干滷味","zh-TW","豆干滷味"
"豆干滷味","zh-TW","豆干"
"豆干滷味","zh-TW","豆干滷"
"海帶滷味","zh-TW","海帶滷味"
"海帶滷味","zh-TW","海帶"
"海帶滷味","zh-TW","海帶滷"
"鴨血滷味","zh-TW","鴨血滷味"
"鴨血滷味","zh-TW","鴨血"
"鴨血滷味","zh-TW","鴨血滷"
"米血糕","zh-TW","米血糕"
"米血糕","zh-TW","米血"
"雞胗滷味","zh-TW","雞胗滷味"
"雞胗滷味","zh-TW","雞胗"
"雞胗滷味","zh-TW","雞胗滷"
"豬耳朵滷味","zh-TW","豬耳朵滷味"
"豬耳朵滷味","zh-TW","豬耳"
"豬耳朵滷味","zh-TW","豬耳朵"
"豬耳朵滷味","zh-TW","豬耳朵滷"
"涼拌小黃瓜","zh-TW","涼拌小黃瓜"
"涼拌小黃瓜","zh-TW","涼拌"
"涼拌小黃瓜","zh-TW","涼拌小"
"涼拌小黃瓜","zh-TW","涼拌小黃"
"涼拌木耳","zh-TW","涼拌木耳"
"涼拌木耳","zh-TW","涼拌"
"涼拌木耳","zh-TW","涼拌木"
"凱薩沙拉","zh-TW","凱薩沙拉"
"凱薩沙拉","zh-TW","凱薩"
"凱薩沙拉","zh-TW","凱薩沙"
"和風沙拉","zh-TW","和風沙拉"
"和風沙拉","zh-TW","和風"
"和風沙拉","zh-TW","和風沙"
"鮪魚沙拉","zh-TW","鮪魚沙拉"
"鮪魚沙拉","zh-TW","鮪魚"
"鮪魚沙拉","zh-TW","鮪魚沙"
"雞肉沙拉","zh-TW","雞肉沙拉"
"雞肉沙拉","zh-TW","雞肉"
"雞肉沙拉","zh-TW","雞肉沙"
"水果沙拉","zh-TW","水果沙拉"
"水果沙拉","zh-TW","水果"
"水果沙拉","zh-TW","水果沙"
"無糖豆漿","zh-TW","無糖豆漿"
"無糖豆漿","zh-TW","無糖"
"無糖豆漿","zh-TW","無糖豆"
"有糖豆漿","zh-TW","有糖豆漿"
"有糖豆漿","zh-TW","有糖"
"有糖豆漿","zh-TW","有糖豆"
"米漿","zh-TW","米漿"
"黑豆漿","zh-TW","黑豆漿"
"黑豆漿","zh-TW","黑豆"
"牛奶","zh-TW","牛奶"
"低脂牛奶","zh-TW","低脂牛奶"
"低脂牛奶","zh-TW","低脂"
"低脂牛奶","zh-TW","低脂牛"
"巧克力牛奶","zh-TW","巧克力牛奶"
"巧克力牛奶","zh-TW","巧克"
"巧克力牛奶","zh-TW","巧克力"
"巧克力牛奶","zh-TW","巧克力牛"
"優酪乳","zh-TW","優酪乳"
"優酪乳","zh-TW","優酪"
"乳酸飲料","zh-TW","乳酸飲料"
"乳酸飲料","zh-TW","乳酸"
"乳酸飲料","zh-TW","乳酸飲"
"青茶","zh-TW","青茶"
"綠茶","zh-TW","綠茶"
"紅茶","zh-TW","紅茶"
"烏龍茶","zh-TW","烏龍茶"
"烏龍茶","zh-TW","烏龍"
"四季春茶","zh-TW","四季春茶"
"四季春茶","zh-TW","四季"
"四季春茶","zh-TW","四季春"
"茉莉綠茶","zh-TW","茉莉綠茶"
"茉莉綠茶","zh-TW","茉莉"
"茉莉綠茶","zh-TW","茉莉綠"
"奶茶","zh-TW","奶茶"
"鮮奶茶","zh-TW","鮮奶茶"
"鮮奶茶","zh-TW","鮮奶"
"珍珠奶茶","zh-TW","珍珠奶茶"
"珍珠奶茶","zh-TW","珍珠"
"珍珠奶茶","zh-TW","珍珠奶"
"珍珠紅茶","zh-TW","珍珠紅茶"
"珍珠紅茶","zh-TW","珍珠"
"珍珠紅茶","zh-TW","珍珠紅"
"珍珠綠茶","zh-TW","珍珠綠茶"
"珍珠綠茶","zh-TW","珍珠"
"珍珠綠茶","zh-TW","珍珠綠"
"珍珠青茶","zh-TW","珍珠青茶"
"珍珠青茶","zh-TW","珍珠"
"珍珠青茶","zh-TW","珍珠青"
"冬瓜茶","zh-TW","冬瓜茶"
"冬瓜茶","zh-TW","冬瓜"
"冬瓜檸檬","zh-TW","冬瓜檸檬"
"冬瓜檸檬","zh-TW","冬瓜"
"冬瓜檸檬","zh-TW","冬瓜檸"
"檸檬紅茶","zh-TW","檸檬紅茶"
"檸檬紅茶","zh-TW","檸檬"
"檸檬紅茶","zh-TW","檸檬紅"
"檸檬綠茶","zh-TW","檸檬綠茶"
"檸檬綠茶","zh-TW","檸檬"
"檸檬綠茶","zh-TW","檸檬綠"
"百香綠茶","zh-TW","百香綠茶"
"百香綠茶","zh-TW","百香"
"百香綠茶","zh-TW","百香綠"
"多多綠茶","zh-TW","多多綠茶"
"多多綠茶","zh-TW","多多"
"多多綠茶","zh-TW","多多綠"
"蜂蜜檸檬","zh-TW","蜂蜜檸檬"
"蜂蜜檸檬","zh-TW","蜂蜜"
"蜂蜜檸檬","zh-TW","蜂蜜檸"
"柳橙汁","zh-TW","柳橙汁"
"柳橙汁","zh-TW","柳橙"
"蘋果汁","zh-TW","蘋果汁"
"蘋果汁","zh-TW","蘋果"
"葡萄汁","zh-TW","葡萄汁"
"葡萄汁","zh-TW","葡萄"
"西瓜汁","zh-TW","西瓜汁"
"西瓜汁","zh-TW","西瓜"
"木瓜牛奶","zh-TW","木瓜牛奶"
"木瓜牛奶","zh-TW","木瓜"
"木瓜牛奶","zh-TW","木瓜牛"
"酪梨牛奶","zh-TW","酪梨牛奶"
"酪梨牛奶","zh-TW","酪梨"
"酪梨牛奶","zh-TW","酪梨牛"
"美式咖啡","zh-TW","美式咖啡"
"美式咖啡","zh-TW","美式"
"美式咖啡","zh-TW","美式咖"
"拿鐵","zh-TW","拿鐵"
"卡布奇諾","zh-TW","卡布奇諾"
"卡布奇諾","zh-TW","卡布"
"卡布奇諾","zh-TW","卡布奇"
"摩卡咖啡","zh-TW","摩卡咖啡"
"摩卡咖啡","zh-TW","摩卡"
"摩卡咖啡","zh-TW","摩卡咖"
"可可","zh-TW","可可"
"可樂","zh-TW","可樂"
"雪碧","zh-TW","雪碧"
"氣泡水","zh-TW","氣泡水"
"氣泡水","zh-TW","氣泡"
"礦泉水","zh-TW","礦泉水"
"礦泉水","zh-TW","礦泉"
"無糖氣泡水","zh-TW","無糖氣泡水"
"無糖氣泡水","zh-TW","無糖"
"無糖氣泡水","zh-TW","無糖氣"
"無糖氣泡水","zh-TW","無糖氣泡"
"布丁","zh-TW","布丁"
"茶葉蛋","zh-TW","茶葉蛋"
"茶葉蛋","zh-TW","茶葉"
"地瓜","zh-TW","地瓜"
"烤玉米","zh-TW","烤玉米"
"烤玉米","zh-TW","烤玉"
"香蕉","zh-TW","香蕉"
"蘋果","zh-TW","蘋果"
"芭樂","zh-TW","芭樂"
"糙米飯","zh-TW","糙米飯"
"糙米飯","zh-TW","糙米"
"五穀飯","zh-TW","五穀飯"
"五穀飯","zh-TW","五穀"
"白飯","zh-TW","白飯"
"茄汁義大利麵","zh-TW","茄汁義大利麵"
"茄汁義大利麵","zh-TW","茄汁"
"茄汁義大利麵","zh-TW","茄汁義"
"茄汁義大利麵","zh-TW","茄汁義大"
"茄汁義大利麵","zh-TW","茄汁義大利"
"白醬義大利麵","zh-TW","白醬義大利麵"
"白醬義大利麵","zh-TW","白醬"
"白醬義大利麵","zh-TW","白醬義"
"白醬義大利麵","zh-TW","白醬義大"
"白醬義大利麵","zh-TW","白醬義大利"
"青醬義大利麵","zh-TW","青醬義大利麵"
"青醬義大利麵","zh-TW","青醬"
"青醬義大利麵","zh-TW","青醬義"
"青醬義大利麵","zh-TW","青醬義大"
"青醬義大利麵","zh-TW","青醬義大利"
"肉醬義大利麵","zh-TW","肉醬義大利麵"
"肉醬義大利麵","zh-TW","肉醬"
"肉醬義大利麵","zh-TW","肉醬義"
"肉醬義大利麵","zh-TW","肉醬義大"
"肉醬義大利麵","zh-TW","肉醬義大利"
"海鮮義大利麵","zh-TW","海鮮義大利麵"
"海鮮義大利麵","zh-TW","海鮮"
"海鮮義大利麵","zh-TW","海鮮義"
"海鮮義大利麵","zh-TW","海鮮義大"
"海鮮義大利麵","zh-TW","海鮮義大利"
"蛤蜊義大利麵","zh-TW","蛤蜊義大利麵"
"蛤蜊義大利麵","zh-TW","蛤蜊"
"蛤蜊義大利麵","zh-TW","蛤蜊義"
"蛤蜊義大利麵","zh-TW","蛤蜊義大"
"蛤蜊義大利麵","zh-TW","蛤蜊義大利"
"培根義大利麵","zh-TW","培根義大利麵"
"培根義大利麵","zh-TW","培根"
"培根義大利麵","zh-TW","培根義"
"培根義大利麵","zh-TW","培根義大"
"培根義大利麵","zh-TW","培根義大利"
"焗烤義大利麵","zh-TW","焗烤義大利麵"
"焗烤義大利麵","zh-TW","焗烤"
"焗烤義大利麵","zh-TW","焗烤義"
"焗烤義大利麵","zh-TW","焗烤義大"
"焗烤義大利麵","zh-TW","焗烤義大利"
"炸豆腐","zh-TW","炸豆腐"
"炸豆腐","zh-TW","炸豆"
"雞排堡","zh-TW","雞排堡"
"雞排堡","zh-TW","雞排"
"雞排吐司","zh-TW","雞排吐司"
"雞排吐司","zh-TW","雞排"
"雞排吐司","zh-TW","雞排吐"
"雞翅","zh-TW","雞翅"
"牛肉湯","zh-TW","牛肉湯"
"牛肉湯","zh-TW","牛肉"
"豬肝湯","zh-TW","豬肝湯"
"豬肝湯","zh-TW","豬肝"
"豬血湯","zh-TW","豬血湯"
"豬血湯","zh-TW","豬血"
"下水湯","zh-TW","下水湯"
"下水湯","zh-TW","下水"
"魚片湯","zh-TW","魚片湯"
"魚片湯","zh-TW","魚片"
"冬粉湯","zh-TW","冬粉湯"
"冬粉湯","zh-TW","冬粉"
"貢丸蛋花湯","zh-TW","貢丸蛋花湯"
"貢丸蛋花湯","zh-TW","貢丸"
"貢丸蛋花湯","zh-TW","貢丸蛋"
"貢丸蛋花湯","zh-TW","貢丸蛋花"
"香菇貢丸湯","zh-TW","香菇貢丸湯"
"香菇貢丸湯","zh-TW","香菇"
"香菇貢丸湯","zh-TW","香菇貢"
"香菇貢丸湯","zh-TW","香菇貢丸"
"豆腐湯","zh-TW","豆腐湯"
"豆腐湯","zh-TW","豆腐"
"青菜豆腐湯","zh-TW","青菜豆腐湯"
"青菜豆腐湯","zh-TW","青菜"
"青菜豆腐湯","zh-TW","青菜豆"
"青菜豆腐湯","zh-TW","青菜豆腐"
"高麗菜","zh-TW","高麗菜"
"高麗菜","zh-TW","高麗"
"空心菜","zh-TW","空心菜"
"空心菜","zh-TW","空心"
"菠菜","zh-TW","菠菜"
"青江菜","zh-TW","青江菜"
"青江菜","zh-TW","青江"
"花椰菜","zh-TW","花椰菜"
"花椰菜","zh-TW","花椰"
"蔥花蛋","zh-TW","蔥花蛋"
"蔥花蛋","zh-TW","蔥花"
"荷包蛋","zh-TW","荷包蛋"
"荷包蛋","zh-TW","荷包"
"水煮蛋","zh-TW","水煮蛋"
"水煮蛋","zh-TW","水煮"
"滷蛋","zh-TW","滷蛋"
"蒸蛋","zh-TW","蒸蛋"
"蒸蛋豆腐","zh-TW","蒸蛋豆腐"
"蒸蛋豆腐","zh-TW","蒸蛋"
"蒸蛋豆腐","zh-TW","蒸蛋豆"
"鹽烤鯖魚","zh-TW","鹽烤鯖魚"
"鹽烤鯖魚","zh-TW","鹽烤"
"鹽烤鯖魚","zh-TW","鹽烤鯖"
"烤鮭魚","zh-TW","烤鮭魚"
"烤鮭魚","zh-TW","烤鮭"
"煎鮭魚","zh-TW","煎鮭魚"
"煎鮭魚","zh-TW","煎鮭"
"煎雞腿排","zh-TW","煎雞腿排"
"煎雞腿排","zh-TW","煎雞"
"煎雞腿排","zh-TW","煎雞腿"
"烤雞腿","zh-TW","烤雞腿"
"烤雞腿","zh-TW","烤雞"
"烤雞胸","zh-TW","烤雞胸"
"烤雞胸","zh-TW","烤雞"
"雞胸肉沙拉","zh-TW","雞胸肉沙拉"
"雞胸肉沙拉","zh-TW","雞胸"
"雞胸肉沙拉","zh-TW","雞胸肉"
"雞胸肉沙拉","zh-TW","雞胸肉沙"
"凱薩雞肉沙拉","zh-TW","凱薩雞肉沙拉"
"凱薩雞肉沙拉","zh-TW","凱薩"
"凱薩雞肉沙拉","zh-TW","凱薩雞"
"凱薩雞肉沙拉","zh-TW","凱薩雞肉"
"凱薩雞肉沙拉","zh-TW","凱薩雞肉沙"
"水果優格","zh-TW","水果優格"
"水果優格","zh-TW","水果"
"水果優格","zh-TW","水果優"
"原味優格","zh-TW","原味優格"
"原味優格","zh-TW","原味"
"原味優格","zh-TW","原味優"
"希臘優格","zh-TW","希臘優格"
"希臘優格","zh-TW","希臘"
