"food_name","lang","alias"
"牛肉麵","zh-TW","牛肉麵"
"牛肉麵","zh-TW","牛肉"
"紅燒牛肉麵","zh-TW","紅燒牛肉麵"
"紅燒牛肉麵","zh-TW","紅燒"
"紅燒牛肉麵","zh-TW","紅燒牛"
"紅燒牛肉麵","zh-TW","紅燒牛肉"
"清燉牛肉麵","zh-TW","清燉牛肉麵"
"清燉牛肉麵","zh-TW","清燉"
"清燉牛肉麵","zh-TW","清燉牛"
"清燉牛肉麵","zh-TW","清燉牛肉"
"牛肉湯麵","zh-TW","牛肉湯麵"
"牛肉湯麵","zh-TW","牛肉"
"牛肉湯麵","zh-TW","牛肉湯"
"牛肉湯餃","zh-TW","牛肉湯餃"
"牛肉湯餃","zh-TW","牛肉"
"牛肉湯餃","zh-TW","牛肉湯"
"雞絲麵","zh-TW","雞絲麵"
"雞絲麵","zh-TW","雞絲"
"陽春麵","zh-TW","陽春麵"
"陽春麵","zh-TW","陽春"
"乾麵","zh-TW","乾麵"
"麻醬麵","zh-TW","麻醬麵"
"麻醬麵","zh-TW","麻醬"
"炸醬麵","zh-TW","炸醬麵"
"炸醬麵","zh-TW","炸醬"
"擔仔麵","zh-TW","擔仔麵"
"擔仔麵","zh-TW","擔仔"
"榨菜肉絲麵","zh-TW","榨菜肉絲麵"
"榨菜肉絲麵","zh-TW","榨菜"
"榨菜肉絲麵","zh-TW","榨菜肉"
"榨菜肉絲麵","zh-TW","榨菜肉絲"
"餛飩麵","zh-TW","餛飩麵"
"餛飩麵","zh-TW","餛飩"
"排骨麵","zh-TW","排骨麵"
"排骨麵","zh-TW","排骨"
"雞腿麵","zh-TW","雞腿麵"
"雞腿麵","zh-TW","雞腿"
"肉燥麵","zh-TW","肉燥麵"
"肉燥麵","zh-TW","肉燥"
"涼麵","zh-TW","涼麵"
"海鮮麵","zh-TW","海鮮麵"
"海鮮麵","zh-TW","海鮮"
"烏龍麵","zh-TW","烏龍麵"
"烏龍麵","zh-TW","烏龍"
"日式拉麵","zh-TW","日式拉麵"
"日式拉麵","zh-TW","日式"
"日式拉麵","zh-TW","日式拉"
"豚骨拉麵","zh-TW","豚骨拉麵"
"豚骨拉麵","zh-TW","豚骨"
"豚骨拉麵","zh-TW","豚骨拉"
"味噌拉麵","zh-TW","味噌拉麵"
"味噌拉麵","zh-TW","味噌"
"味噌拉麵","zh-TW","味噌拉"
"炒麵","zh-TW","炒麵"
"炒米粉","zh-TW","炒米粉"
"炒米粉","zh-TW","炒米"
"米粉湯","zh-TW","米粉湯"
"米粉湯","zh-TW","米粉"
"粄條","zh-TW","粄條"
"客家粄條","zh-TW","客家粄條"
"客家粄條","zh-TW","客家"
"客家粄條","zh-TW","客家粄"
"牛肉炒麵","zh-TW","牛肉炒麵"
"牛肉炒麵","zh-TW","牛肉"
"牛肉炒麵","zh-TW","牛肉炒"
